airline,flight,source_city,destination_city,one_way,stops,class,class_code,capacity,duration,departure_time,arrival_time,days_left,season_label,weekday,hour,departure_period,season_base_mult,event_mult,weekday_mult,period_mult,stop_mult,demand_index,base_price,price,seat_sold,residual_capacity,optimal_price,optimal_revenue,expected_units,kept_current_price,current_expected_revenue,pct_change_vs_current_price
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),First,2,8,10.1,2023-08-01 05:54:00,2023-08-01 16:00:00,147,Summer,1,5,Dawn,1.15,1.0,0.96,0.97,0.97,0.897,1900.0,1939.54,1,7,2090.0,1253.1678933270264,0.5996018628358978,False,1207.2174011102693,7.757509512564837
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),Business,1,30,10.1,2023-08-01 05:54:00,2023-08-01 16:00:00,14,Summer,1,5,Dawn,1.15,1.0,0.96,0.97,0.97,0.956,850.0,976.76,18,12,1062.5,1831.600979171043,1.7238597451021582,False,1801.0370729386873,8.778000737130922
Etihad Airways,EY342,Muscat,London (LHR),True,1 Stop (AUH),Economy,0,240,10.1,2023-08-01 05:54:00,2023-08-01 16:00:00,14,Summer,1,5,Dawn,1.15,1.0,0.96,0.97,0.97,0.944,250.0,200.79,198,42,200.79,1943.7090883633198,9.680308224330494,True,1943.7090883633198,0.0
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),Business,1,30,10.0,2023-08-01 06:56:00,2023-08-01 16:56:00,95,Summer,1,6,Dawn,1.15,1.0,0.96,0.97,0.97,0.912,850.0,704.81,9,21,1062.5,1737.259331152495,1.6350676057905835,False,1600.3437450822514,50.74984747662492
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),First,2,8,10.0,2023-08-01 06:56:00,2023-08-01 16:56:00,114,Summer,1,6,Dawn,1.15,1.0,0.96,0.97,0.97,0.877,1900.0,1945.9,1,7,2090.0,1233.1321852383744,0.5900153996355858,False,1189.8624225454741,7.405313736574331
Gulf Air,GF567,Muscat,London (LHR),True,1 Stop (BAH),Economy,0,240,10.0,2023-08-01 06:56:00,2023-08-01 16:56:00,115,Summer,1,6,Dawn,1.15,1.0,0.96,0.97,0.97,1.026,250.0,201.51,100,140,201.51,3944.2746609595574,19.57359268006331,True,3944.2746609595574,0.0
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),Business,1,30,10.2,2023-08-01 09:02:00,2023-08-01 19:14:00,2,Summer,1,9,Morning,1.15,1.0,0.96,1.03,0.97,1.07,850.0,1100.0,18,12,1105.0,2461.481239389491,2.2275848320266887,False,2459.2496117487844,0.45454545454545453
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),Economy,0,240,10.2,2023-08-01 09:02:00,2023-08-01 19:14:00,15,Summer,1,9,Morning,1.15,1.0,0.96,1.03,0.97,1.105,250.0,185.14,170,70,185.14,3859.6009719126,20.84693189971157,True,3859.6009719126,0.0
Oman Air,WY223,Muscat,London (LHR),True,1 Stop (FRA),First,2,8,10.2,2023-08-01 09:02:00,2023-08-01 19:14:00,141,Summer,1,9,Morning,1.15,1.0,0.96,1.03,0.97,0.947,1900.0,1793.11,1,7,2090.0,1323.7328516644343,0.63336500079638,False,1226.1134889656262,16.557266425372685
Oman Air,WY101,Muscat,London (LHR),True,Direct,Business,1,30,7.9,2023-08-01 16:40:00,2023-08-02 00:34:00,112,Summer,1,16,Afternoon,1.15,1.0,0.96,1.06,1.12,1.278,850.0,746.57,7,23,935.0000000000001,2569.090378675801,2.747690244573049,False,2456.0158622695003,25.23942831884486
Oman Air,WY101,Muscat,London (LHR),True,Direct,Economy,0,240,7.9,2023-08-01 16:40:00,2023-08-02 00:34:00,63,Summer,1,16,Afternoon,1.15,1.0,0.96,1.06,1.12,1.19,250.0,350.0,89,151,225.0,5147.7096840230915,22.878709706769296,False,4313.798305069583,-35.714285714285715
Oman Air,WY101,Muscat,London (LHR),True,Direct,First,2,8,7.9,2023-08-01 16:40:00,2023-08-02 00:34:00,171,Summer,1,16,Afternoon,1.15,1.0,0.96,1.06,1.12,1.225,1900.0,1723.65,1,7,2090.0,1709.5654008736772,0.8179738760161135,False,1552.5196960057408,21.254314971136825
